Question,Notes,Status,Categories,Difficulty
236. Lowest Common Ancestor of a Binary Tree,"Solved myself with brute force solution. But an optimized solution can be solved by simple dfs. There are two base cases, if the node reaches None, return None. If the current node is one of the two nodes, then return the current node. Then recursive case, call the recursive function on both left and right. If both returns None, it means there is nothing being found. If left and right both returns target nodes, then return the current node. Otherwise, returns whatever side that is not none.",With help,Binary Tree,Medium
160. Intersection of Two Linked Lists,Jump by the length difference and go straightforwardly.,With help,Linked list,Easy
162. Find Peak Element,"When I see O(logn), we know it is BS. The searching critiria is by seeing if the array is increasing or decreasing. If it is decreasing, we know that there is a local max on its left, if increasing, we know there is a local max on its right. Be aware of the edge cases where the length is 1 or 2. Also be aware the mid pointer is at 0 or len(nums) - 1 where the mid-1 and mid+1 might result in ""out of bound"" issue.",No help,Binary Search,Medium
118. Pascal's Triangle,Trivial  ,No help,"Math, Geometry",Easy
674. Longest Continuous Increasing Subsequence,Trivial two sliding window question. Nothing worth to say,No help,Sliding window,Easy
673. Number of Longest Increasing Subsequence,"Trick question but no more than a 2D DP. Remember the recursive function should return (longest starting from this index, the number of such subsequence)",With help,DP,Medium
124. Binary Tree Maximum Path Sum,"Another case where the return value and actually answer might differ. For each recursive call, the return value has to asssume that there is no turning existing. Therefore, when we call left_max = cur.left and right_max = cur.right. We can guaruntee that the value has no turning. Since we are only allowed to have ONE turning. There are 4 possible cases where result can change. These are the following. cur_node.val; max_left + cur_node.val; max_right + cur_node.val; max_left + max_right + cur_node.val. We need to check all 4 conditions to update the global max.",With help,Binary Tree,Hard
329. Longest Increasing Path in a Matrix,"It is not as hard as a hard question. Basically process the dfs on each single cell. For the dfs function, it will call dfs on its adjcent cells if the cell has a value bigger then the current cell. Then we find the max value of 4 adjcent cells and +1, then return it. If none of the 4 satisfy the condition, we simply return 0 + 1.",No help,DP,Hard
115. Distinct Subsequences,Not hard. Traditional DP question but requires more base cases. Slicing strings are needed,No help,DP,Hard
310. Minimum Height Trees,"The question is processed by keep taking out the outermost layer (leaf nodes) until the graph has only 1 or 2 nodes. This idea is best implemented with BFS algorithm where there is a leaves list to keep track of all the leaf nodes. Then, process the leaf nodes and add a new leaf node if the adjcent node turned to a leaf node. ",With help,Graph,Medium
114. Flatten Binary Tree to Linked List,Good question. The whole process should be done in place. The recursive function should be call on the right and left and both of them return a structure that has already being arranged to linked list. Then we need to spot the end of the left subtree and insert it to the right hand side. Be aware of the edge case where the left subtree returns None.,No help,Binary Tree,Medium
42. Trapping Rain Water,"This is an OK question if not considering space efficiency. For each position, we follow the formula min(maxLeft, maxRight) - height to find the amount of water this position can hold. ",With help,Array,Hard
289. Game of Life,"Not tricky. Notice that while iteration, if we want to turn something to dead, we cannot immediately change it to 0, instead, we change it to ""dead"" to mark that this one is originally live",No help,Array,Medium
429. N-ary Tree Level Order Traversal,"Classic BFS, nothing more",No help,BFS,Medium
122. Best Time to Buy and Sell Stock II,A greedy question that has a really easy implementation but tricky algorithm. If we visitulize the prices as a diagram. We are basically adding up all the positive slopes,With a lot of help,Greedy,Medium
814. Binary Tree Pruning,"Did not take too much time. I need a hasOne function that returns a boolean value. While running the hasOne function, we can delete nodes as necessary.",No help,Binary Tree,Medium
328. Odd Even Linked List,Trivial. Need a status variable to check if I need to move the current node to the back of the list,No help,Linked list,Medium
47. Permutations II,The question requires some creativity where I need to pass a hashmap into the dfs function to remove the duplicates. ,With a lot of help,Backtracking,Medium
96. Unique Binary Search Trees,Simple DP solution. Trick is to not copying the array around and around for the purpose of cache.,No help,DP,Medium
1423. Maximum Points You Can Obtain from Cards,"Orginally came up with a recursive solution but it was too inefficient to pass. Then a prefix/suffix sum solution, still not efficient. The optimal solution should be O(n) where apply a fixed sized sliding window on the array and all the element outside the window are the sum we need to calculate",With help,Sliding window,Medium
221. Maximal Square,"The first impression is pretty tricky. But after I know that It is a DP problem, I figured out. Moreover, it can be solved in place without cache. First we need to construct an outermost shell which contains all 0s. Then we iterate from bottom to top. We need to check all three adjecent cells that are on the right, bottom and bottom right of the current cell and take the min of them. ",With help,DP,Medium
1466. Reorder Routes to Make All Paths Lead to the City Zero,My initial approach is a BFS approach but got stuck because it gets TLEed. The optimization for that is to add another set which contains all the edges so we can access edge information in O(1) time complexity.,With help,BFS,Medium
438. Find All Anagrams in a String,"A standard sliding window question coming with hashmap. It is a fixed sized sliding window and I over complicated that. But it is a good practice about how this type of question works. When the condition is not met, I move the slow pointer and shrink the size. When the condition is met, I move the fast pointer towards the back. Notice that at the starting condition, the fast pointer is always 1 index ahead of the current window.",No help,Sliding window,Medium
718. Maximum Length of Repeated Subarray,"Another practice on the dp bottom up by 2D array. When iterating through the dp, we need to take notice of which one matches which. The iterator ""r"" should match arr1 and ""c"" should match arr2.",With help,DP,Medium
113. Path Sum II,Trivial question. Only thing to notice is that the arr might be over added if the backtracking ends at node == None. The backtracking should end at node == LEAF.,No help,Binary Tree,Medium
1029. Two City Scheduling,A brute-force solution could use DP to track each of the solution. But a better solution uses DP which is hard to come up with. We can calculate the difference and sort them and let the first half going to city A and second half going to city B.,With help,Greedy,Medium
